LL_LAT,LL_LON,UL_LAT,UL_LON,UR_LAT,UR_LON,LR_LAT,LR_LON,MISSION,ROLL,FRAME,YYYYMMDD,NADIR_LAT,NADIR_LON,SQ_KM_AREA,ORIENTATION,URL
-0.032098,-92.206751,-1.424320,-91.402004,-0.892056,-90.217980,0.500167,-91.022728,ISS047,E,55412,20160409,0.4,-88.5,25733,114.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS047/ISS047-E-55412.JPG
-0.164264,-48.037805,-1.052532,-48.017531,-1.208739,-46.477618,-0.320471,-46.497892,ISS063,E,38464,20200705,-0.2,-48.9,16909,1.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS063/ISS063-E-38464.JPG
-0.169753,-48.073418,-1.084112,-48.029092,-1.271812,-46.418211,-0.357453,-46.462536,ISS063,E,38465,20200705,-0.2,-48.9,18147,2.8,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS063/ISS063-E-38465.JPG
-0.223504,-46.121374,-2.189165,-47.446577,-3.293200,-45.733605,-1.327539,-44.408402,ISS048,E,3783,20160620,-3.7,-43.9,59820,62.1,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS048/ISS048-E-3783.JPG
-0.261190,173.960558,0.430973,174.159260,0.807128,173.363616,0.114966,173.164915,ISS055,E,70565,20180513,3.2,173.8,7750,159.0,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS055/ISS055-E-70565.JPG
-0.286690,35.688360,-1.374873,36.522776,-0.253351,38.240556,0.834833,37.406141,ISS062,E,69667,20200229,1.2,35.3,34758,36.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-69667.JPG
-0.296753,-65.931240,-0.780250,-65.704928,-0.429291,-64.996759,0.054206,-65.223071,ISS040,E,74153,20140722,-0.5,-65.4,5227,205.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS040/ISS040-E-74153.JPG
-0.495918,39.090450,0.020586,39.373203,0.340970,38.659744,-0.175535,38.376991,ISS062,E,103399,20200320,2.3,41.2,5689,149.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103399.JPG
-0.561232,39.324025,-0.025536,39.610929,0.297825,38.889379,-0.237871,38.602476,ISS062,E,103400,20200320,2.3,41.2,5939,149.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103400.JPG
-0.682750,-90.894615,-0.038143,-90.663894,0.222693,-91.653809,-0.421915,-91.884530,ISS065,E,436478,20211003,-2.3,-93.7,8653,161.2,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS065/ISS065-E-436478.JPG
-0.696059,-90.892053,-0.043244,-90.667562,0.230808,-91.654658,-0.422007,-91.879149,ISS065,E,436477,20211003,-2.3,-93.7,8747,160.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS065/ISS065-E-436477.JPG
-0.814241,-62.404487,-1.403502,-62.537482,-1.672834,-61.816190,-1.083572,-61.683195,ISS047,E,47437,20160406,1.5,-61.9,5709,-15.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS047/ISS047-E-47437.JPG
-0.815590,-62.407112,-1.404554,-62.539365,-1.673503,-61.819597,-1.084539,-61.687343,ISS047,E,47436,20160406,1.5,-61.9,5692,-15.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS047/ISS047-E-47436.JPG
-0.838045,36.007277,-1.619192,35.707836,-2.094951,36.885863,-1.313805,37.185305,ISS064,E,46256,20210324,-1.0,37.6,13164,-21.3,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS064/ISS064-E-46256.JPG
-0.863008,149.446492,-1.465320,149.103415,-2.002097,149.917573,-1.399785,150.260650,ISS062,E,142757,20200411,-1.5,149.1,8356,-31.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-142757.JPG
-0.883438,-63.486512,-2.553577,-62.870574,-1.020579,-60.884850,0.649561,-61.500789,ISS061,E,118479,20200105,4.1,-63.5,52784,205.2,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS061/ISS061-E-118479.JPG
-0.886684,149.426916,-1.492981,149.101271,-2.037080,149.918607,-1.430782,150.244252,ISS062,E,142756,20200411,-1.5,149.1,8333,-31.0,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-142756.JPG
-0.925666,39.818384,-0.382129,40.128923,0.043047,39.473068,-0.500489,39.162529,ISS062,E,103403,20200320,2.4,41.3,6053,145.0,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103403.JPG
-0.927591,-62.388559,-1.692434,-62.456828,-1.798617,-61.314999,-1.033774,-61.246730,ISS066,E,129214,20220107,-1.4,-61.7,10908,175.2,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-129214.JPG
-1.046529,-78.272737,-0.382381,-77.554307,0.842558,-78.479104,0.178410,-79.197533,ISS066,E,104195,20220104,-1.8,-79.7,18515,125.3,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-104195.JPG
-1.055820,31.194633,-2.643186,30.938701,-2.568407,33.730083,-0.981041,33.986014,ISS062,E,124458,20200404,-4.1,30.0,54642,262.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-124458.JPG
-1.108742,39.930834,-0.569154,40.251470,-0.118979,39.588974,-0.658567,39.268338,ISS062,E,103404,20200320,2.4,41.3,6218,143.7,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103404.JPG
-1.232206,38.073997,-2.510539,37.808927,-2.881831,39.758564,-1.603497,40.023634,ISS066,E,145591,20220215,-3.7,39.5,32082,77.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-145591.JPG
-1.273132,39.684666,-3.714256,38.572935,-4.557361,40.656120,-2.116237,41.767851,ISS062,E,53562,20200225,-1.1,36.8,74526,69.8,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-53562.JPG
-1.418633,-55.220745,-2.337741,-56.158230,-2.721645,-55.332713,-1.802538,-54.395229,ISS063,E,738,20200420,-0.8,-59.4,13852,232.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS063/ISS063-E-738.JPG
-1.465029,-55.224156,-2.728618,-54.325039,-1.998026,-50.938245,-0.734437,-51.837362,ISS066,E,125011,20220121,-0.4,-46.5,61141,21.8,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-125011.JPG
-1.489882,-90.437694,0.188394,-89.886512,0.306113,-91.566299,-1.372163,-92.117481,ISS064,E,28131,20210130,-3.9,-92.7,35735,153.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS064/ISS064-E-28131.JPG
-1.500614,-75.167275,-2.262367,-75.276664,-2.415395,-74.035034,-1.653642,-73.925644,ISS040,E,54571,20140709,-1.8,-73.5,11920,-7.7,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS040/ISS040-E-54571.JPG
-1.516421,34.905154,-2.003715,35.361112,-1.765316,36.113814,-1.278023,35.657857,ISS023,E,34447,20100508,-0.5,31.8,5889,41.7,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS023/ISS023-E-34447.JPG
-1.520648,29.551944,-1.460045,28.820243,-2.568216,28.718744,-2.628820,29.450446,ISS066,E,190081,20220301,-1.7,28.4,10117,264.3,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-190081.JPG
-1.598332,-53.613640,-1.332545,-54.123188,-2.812144,-54.543500,-3.077931,-54.033952,ISS063,E,748,20200420,-5.5,-56.1,10718,241.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS063/ISS063-E-748.JPG
-1.600368,-53.559905,-1.329323,-54.026580,-2.676841,-54.454118,-2.947886,-53.987443,ISS063,E,749,20200420,-5.5,-56.0,9222,239.0,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS063/ISS063-E-749.JPG
-1.685575,-56.367676,-2.294412,-56.221174,-2.107554,-55.485571,-1.498716,-55.632073,ISS065,E,223233,20210806,-0.2,-56.8,5885,196.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS065/ISS065-E-223233.JPG
-1.696478,30.836683,-1.502712,29.994589,-2.676812,29.623319,-2.870579,30.465414,ISS066,E,190084,20220301,-2.2,28.7,13133,253.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-190084.JPG
-1.717205,41.886486,-1.124798,41.474418,-1.666274,40.823942,-2.258680,41.236010,ISS062,E,103390,20200320,1.5,40.6,7536,223.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103390.JPG
-1.723672,31.324020,-2.876103,31.130644,-3.144023,32.891338,-1.991592,33.084714,ISS062,E,124454,20200404,-4.2,29.9,25762,260.8,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-124454.JPG
-1.730554,-55.328606,-2.263188,-55.396564,-2.373491,-54.549514,-1.840856,-54.481556,ISS037,E,1602,20130918,-2.2,-53.7,5680,-6.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS037/ISS037-E-1602.JPG
-1.753485,-55.344684,-2.287716,-55.404811,-2.389790,-54.546661,-1.855559,-54.486534,ISS037,E,1604,20130918,-2.3,-53.7,5753,-6.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS037/ISS037-E-1604.JPG
-1.804025,40.439905,-2.621256,40.602258,-2.544380,41.219814,-1.727149,41.057460,ISS047,E,42398,20160405,-8.0,41.9,6404,21.0,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS047/ISS047-E-42398.JPG
-1.810478,40.535027,-2.403237,40.330790,-2.903548,41.166994,-2.310789,41.371232,ISS062,E,103381,20200320,1.1,40.3,7402,159.9,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103381.JPG
-1.900878,41.721776,-1.274562,41.327240,-1.813354,40.649675,-2.439669,41.044211,ISS062,E,103389,20200320,1.5,40.6,7888,221.1,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103389.JPG
-1.948879,40.330901,-2.601790,40.231577,-2.924678,41.097040,-2.271768,41.196364,ISS062,E,103380,20200320,1.0,40.3,7393,170.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103380.JPG
-1.966060,35.696651,-2.719662,35.556227,-2.907538,36.248101,-2.153936,36.388524,ISS023,E,30959,20100502,-0.4,34.1,6781,82.6,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS023/ISS023-E-30959.JPG
-1.976418,40.479625,-2.598082,40.872841,-2.062964,41.558409,-1.441300,41.165193,ISS062,E,103388,20200320,1.4,40.6,7883,220.4,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS062/ISS062-E-103388.JPG
-1.980062,-80.237393,-2.974713,-80.707929,-3.293739,-80.041558,-2.299088,-79.571022,ISS066,E,101142,20211231,-2.7,-79.6,10062,65.5,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS066/ISS066-E-101142.JPG
-1.986573,133.641161,-2.570892,133.805838,-2.208853,134.580517,-1.624534,134.415840,ISS043,E,87581,20150406,0.0,134.4,6343,17.7,https://eol.jsc.nasa.gov/DatabaseImages/ESC/large/ISS043/ISS043-E-87581.JPG
